iter	Passed	Remaining
1265	1819	19740
1266	1821	19738
1267	1822	19735
1268	1823	19732
1269	1824	19729
1270	1826	19729
1271	1827	19725
1272	1829	19724
1273	1830	19720
1274	1831	19717
1275	1832	19713
1276	1834	19711
1277	1835	19708
1278	1837	19708
1279	1838	19705
1280	1839	19704
1281	1841	19700
1282	1842	19698
1283	1843	19697
1284	1845	19696
1285	1846	19694
1286	1848	19692
1287	1849	19689
1288	1850	19688
1289	1852	19687
1290	1854	19687
1291	1855	19684
1292	1856	19682
1293	1858	19681
1294	1859	19679
1295	1860	19677
1296	1862	19674
1297	1863	19671
1298	1865	19670
1299	1866	19668
1300	1867	19666
1301	1869	19663
1302	1870	19663
1303	1871	19659
1304	1873	19656
1305	1874	19654
1306	1875	19652
1307	1877	19649
1308	1878	19649
1309	1880	19646
1310	1881	19645
1311	1882	19642
1312	1884	19641
1313	1890	19686
1314	1891	19685
1315	1892	19682
1316	1894	19680
1317	1895	19678
1318	1897	19677
1319	1898	19674
1320	1899	19673
1321	1901	19671
1322	1902	19668
1323	1903	19666
1324	1905	19665
1325	1906	19662
1326	1908	19659
1327	1909	19656
1328	1910	19654
1329	1911	19650
1330	1913	19647
1331	1914	19644
1332	1915	19642
1333	1917	19639
1334	1918	19636
1335	1919	19635
1336	1921	19632
1337	1922	19629
1338	1923	19628
1339	1925	19625
1340	1926	19625
1341	1927	19621
1342	1929	19620
1343	1930	19619
1344	1932	19617
1345	1933	19617
1346	1935	19615
1347	1936	19612
1348	1937	19609
1349	1939	19605
1350	1940	19603
1351	1941	19600
1352	1942	19597
1353	1944	19594
1354	1945	19592
1355	1946	19590
1356	1948	19588
1357	1949	19586
1358	1951	19584
1359	1952	19580
1360	1953	19577
1361	1954	19574
1362	1956	19571
1363	1957	19570
1364	1958	19566
1365	1960	19564
1366	1961	19561
1367	1962	19559
1368	1964	19556
1369	1965	19554
1370	1966	19552
1371	1968	19550
1372	1969	19547
1373	1970	19545
1374	1972	19541
1375	1973	19541
1376	1974	19539
1377	1976	19538
1378	1977	19535
1379	1979	19534
1380	1980	19533
1381	1982	19531
1382	1983	19527
1383	1984	19524
1384	1986	19523
1385	1987	19523
1386	1989	19523
1387	1990	19519
1388	1991	19515
1389	1992	19513
1390	1994	19512
1391	1995	19512
1392	1997	19509
1393	1998	19507
1394	1999	19504
1395	2001	19502
1396	2002	19499
1397	2003	19497
1398	2005	19493
1399	2006	19491
1400	2007	19488
1401	2009	19486
1402	2010	19483
1403	2011	19480
1404	2013	19479
1405	2014	19477
1406	2015	19476
1407	2017	19473
1408	2018	19470
1409	2019	19467
1410	2021	19465
1411	2022	19464
1412	2023	19461
1413	2025	19459
1414	2026	19456
1415	2027	19454
1416	2029	19451
1417	2030	19448
1418	2031	19444
1419	2033	19442
1420	2034	19441
1421	2036	19441
1422	2037	19438
1423	2038	19437
1424	2040	19434
1425	2041	19432
1426	2042	19430
1427	2044	19428
1428	2045	19425
1429	2047	19425
1430	2048	19423
1431	2049	19422
1432	2051	19418
1433	2052	19416
1434	2053	19414
1435	2055	19412
1436	2056	19409
1437	2057	19406
1438	2058	19403
1439	2060	19403
1440	2061	19399
1441	2062	19396
1442	2064	19393
1443	2065	19391
1444	2066	19389
1445	2068	19386
1446	2069	19382
1447	2070	19380
1448	2071	19376
1449	2073	19375
1450	2074	19373
1451	2075	19370
1452	2077	19367
1453	2078	19364
1454	2079	19360
1455	2081	19358
1456	2082	19355
1457	2083	19355
1458	2084	19350
1459	2086	19349
1460	2087	19345
1461	2089	19344
1462	2090	19341
1463	2091	19338
1464	2092	19336
1465	2094	19336
1466	2095	19333
1467	2097	19331
1468	2098	19329
1469	2099	19327
1470	2101	19324
1471	2102	19321
1472	2103	19319
1473	2105	19316
1474	2106	19313
1475	2107	19311
1476	2108	19309
1477	2110	19306
1478	2111	19303
1479	2112	19302
1480	2114	19299
1481	2115	19297
1482	2116	19294
1483	2118	19292
1484	2119	19289
1485	2120	19288
1486	2122	19286
1487	2123	19283
1488	2124	19280
1489	2126	19278
1490	2127	19277
1491	2129	19276
1492	2130	19273
1493	2131	19271
1494	2133	19269
1495	2134	19267
1496	2135	19265
1497	2137	19261
1498	2138	19258
1499	2139	19257
1500	2140	19254
1501	2142	19252
1502	2143	19250
1503	2145	19248
1504	2146	19247
1505	2147	19245
1506	2149	19242
1507	2150	19240
1508	2151	19237
1509	2153	19235
1510	2154	19233
1511	2155	19231
1512	2157	19228
1513	2158	19226
1514	2159	19225
1515	2161	19222
1516	2162	19221
1517	2163	19218
1518	2165	19217
1519	2166	19215
1520	2168	19213
1521	2169	19210
1522	2170	19209
1523	2172	19206
1524	2173	19203
1525	2174	19201
1526	2175	19198
1527	2177	19195
1528	2178	19191
1529	2179	19189
1530	2180	19187
1531	2182	19184
1532	2183	19182
1533	2184	19179
1534	2186	19178
1535	2187	19177
1536	2189	19176
1537	2190	19174
1538	2191	19172
1539	2193	19168
1540	2194	19166
1541	2195	19163
1542	2197	19160
1543	2198	19157
1544	2199	19155
1545	2200	19152
1546	2202	19149
1547	2203	19146
1548	2204	19145
1549	2205	19142
1550	2207	19140
1551	2208	19138
1552	2210	19137
1553	2211	19134
1554	2213	19134
1555	2214	19133
1556	2216	19135
1557	2217	19134
1558	2219	19133
1559	2220	19130
1560	2221	19128
1561	2223	19126
1562	2224	19124
1563	2226	19124
1564	2227	19121
1565	2228	19120
1566	2230	19117
1567	2231	19118
1568	2233	19116
1569	2234	19115
1570	2235	19111
1571	2237	19110
1572	2238	19108
1573	2240	19107
1574	2241	19105
1575	2242	19104
1576	2244	19101
1577	2260	19231
1578	2262	19228
1579	2263	19225
1580	2264	19223
1581	2266	19221
1582	2267	19218
1583	2268	19215
1584	2269	19212
1585	2271	19209
1586	2272	19206
1587	2273	19204
1588	2275	19203
1589	2276	19200
1590	2277	19197
1591	2279	19194
1592	2280	19193
1593	2281	19189
1594	2283	19187
1595	2284	19185
1596	2285	19183
1597	2286	19180
1598	2288	19177
1599	2289	19175
1600	2291	19173
1601	2292	19171
1602	2293	19170
1603	2295	19167
1604	2296	19166
1605	2297	19165
1606	2299	19163
1607	2300	19161
1608	2302	19160
1609	2303	19159
1610	2305	19161
1611	2306	19158
1612	2308	19156
1613	2309	19154
1614	2310	19152
1615	2312	19151
1616	2313	19149
1617	2315	19147
1618	2316	19145
1619	2317	19143
1620	2319	19140
1621	2320	19138
1622	2321	19138
1623	2323	19135
1624	2324	19134
1625	2325	19131
1626	2327	19129
1627	2328	19126
1628	2329	19124
1629	2331	19121
1630	2332	19121
1631	2334	19118
1632	2335	19117
1633	2336	19115
1634	2338	19114
1635	2339	19112
1636	2341	19110
1637	2342	19108
1638	2343	19106
1639	2345	19103
1640	2346	19102
1641	2347	19099
1642	2349	19097
1643	2350	19095
1644	2351	19094
1645	2353	19091
1646	2354	19090
1647	2355	19087
1648	2357	19085
1649	2358	19082
1650	2359	19080
1651	2361	19076
1652	2362	19074
1653	2363	19071
1654	2364	19069
1655	2366	19067
1656	2367	19066
1657	2369	19064
1658	2370	19063
1659	2371	19061
1660	2373	19058
1661	2374	19057
1662	2376	19055
1663	2377	19054
1664	2378	19052
1665	2380	19051
1666	2381	19047
1667	2382	19045
1668	2384	19042
1669	2385	19040
1670	2386	19038
1671	2388	19036
1672	2389	19033
1673	2390	19031
1674	2392	19028
1675	2393	19027
1676	2394	19025
1677	2396	19024
1678	2397	19021
1679	2398	19019
1680	2400	19016
1681	2401	19014
1682	2402	19012
1683	2404	19010
1684	2405	19008
